id	volume	entry_type	title	date_label	candidate_count	reviewed_statements	status	first_pass_summary
MX1-001	1	main_work	中国社会各阶级的分析	一九二五年十二月一日	78	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-002	1	main_work	湖南农民运动考察报告	一九二七年三月	111	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-003	1	main_work	中国的红色政权为什么能够存在？	一九二八年十月五日	49	1	source_records_with_open_verification_items	《中国的红色政权为什么能够存在？》题注称，该篇是《政治问题和边界党的任务》决议的一部分。
MX1-004	1	main_work	井冈山的斗争	一九二八年十一月二十五日	63	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-005	1	main_work	关于纠正党内的错误思想	一九二九年十二月	54	1	source_records_with_open_verification_items	《关于纠正党内的错误思想》题注称，该篇是红四军第九次党代会决议的第一部分。
MX1-006	1	main_work	星星之火，可以燎原	一九三○年一月五日	51	2	source_records_with_open_verification_items	《星星之火，可以燎原》题注称，该篇原为给林彪的信；题注记有1948年不公开姓名的请求，以及收入选集第一版时改题并删改指名批评之处的情况；《毛泽东年谱》1948年2月12日条载，毛泽东批示这封给林彪的信不要出版，并要求审阅所拟文集，暂缓东北局印行和翻译。
MX1-007	1	main_work	反对本本主义	一九三○年五月	155	2	source_records_with_open_verification_items	《毛泽东年谱》1961年3月11日条载，《调查工作》经文字修改后改题《关于调查工作》并印发；同条编者说明称，1964年收入《毛泽东著作选读》时改题《反对本本主义》，署为1930年5月；《毛泽东选集》1991年第二版出版说明将《反对本本主义》列为增收篇目，并称该文曾散失、六十年代初重新找到，经作者审定，于1964年公开发表。
MX1-008	1	main_work	必须注意经济工作	一九三三年八月十二日	27	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-009	1	main_work	怎样分析农村阶级	一九三三年十月	26	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
MX1-010	1	main_work	我们的经济政策	一九三四年一月	29	0	full_corpus_retrieval_first_pass_only	基线与候选定位已登记；尚未形成逐条来源记载摘要。
